State,District,Area,Pincode,,,,,,
Tamilnadu,Villupuram,Guduvampoondi  ,604208,,,,,,
Tamilnadu,Villupuram,Hemerjickx Cente  ,605111,,,,,,
Tamilnadu,Villupuram,Idapattu  ,604201,,,,,,
Tamilnadu,Villupuram,Illodu  ,604210,,,,,,
Tamilnadu,Villupuram,Jayankondam  ,604202,,,,,,
Tamilnadu,Villupuram,Kadali  ,604210,,,,,,
Tamilnadu,Villupuram,Kadambur  ,604206,,,,,,
Tamilnadu,Villupuram,Kadaperikuppam  ,605502,,,,,,
Tamilnadu,Villupuram,Kakkanur  ,605402,,,,,,
Tamilnadu,Villupuram,Kalaiyur  ,604206,,,,,,
Tamilnadu,Villupuram,Kalayampoondi  ,605202,,,,,,
Tamilnadu,Villupuram,Kallapattu  ,605108,,,,,,
Tamilnadu,Villupuram,Kallapuliyur  ,604208,,,,,,
Tamilnadu,Villupuram,Kalleri  ,604151,,,,,,
Tamilnadu,Villupuram,Kallipattu  ,605105,,,,,,
Tamilnadu,Villupuram,Kalpattu  ,605302,,,,,,
Tamilnadu,Villupuram,Kaluperumbakkam  ,605014,,,,,,
Tamilnadu,Villupuram,Kanai  ,605301,,,,,,
Tamilnadu,Villupuram,Kanakkankuppam  ,604151,,,,,,
Tamilnadu,Villupuram,Kandadu  ,604303,,,,,,
Tamilnadu,Villupuram,Kandamangalam  ,605102,,,,,,
Tamilnadu,Villupuram,Kandambakkam  ,605401,,,,,,
Tamilnadu,Villupuram,Kandnamanadi  ,605401,,,,,,
Tamilnadu,Villupuram,Kangiyanur  ,605302,,,,,,
Tamilnadu,Villupuram,Kanjanur  ,605203,,,,,,
Tamilnadu,Villupuram,Kappai  ,604205,,,,,,
Tamilnadu,Villupuram,Kappalampadi  ,604201,,,,,,
Tamilnadu,Villupuram,Kappiyampuliyur  ,605601,,,,,,
Tamilnadu,Villupuram,Kappur  ,605301,,,,,,
Tamilnadu,Villupuram,Karai  ,605201,,,,,,
Tamilnadu,Villupuram,Karattai  ,604154,,,,,,
Tamilnadu,Villupuram,Karnavur  ,604001,,,,,,
Tamilnadu,Villupuram,Karuvakshi  ,605201,,,,,,
Tamilnadu,Villupuram,Karuvampakkam  ,604207,,,,,,
Tamilnadu,Villupuram,Katrambakkam  ,605109,,,,,,
Tamilnadu,Villupuram,Kattalai  ,604001,,,,,,
Tamilnadu,Villupuram,Katterikuppam  ,605502,,,,,,
Tamilnadu,Villupuram,Kattusiviri  ,604207,,,,,,
Tamilnadu,Villupuram,Kaveripakkam  ,604001,,,,,,
Tamilnadu,Villupuram,Kedar  ,605402,,,,,,
Tamilnadu,Villupuram,Kiladanur  ,604307,,,,,,
Tamilnadu,Villupuram,Kiledayalam  ,604302,,,,,,
Tamilnadu,Villupuram,Kilinjikuppam  ,605110,,,,,,
Tamilnadu,Villupuram,Kiliyanur  ,604102,,,,,,
Tamilnadu,Villupuram,Kilmavilangai  ,604207,,,,,,
Tamilnadu,Villupuram,Kilsevur  ,604101,,,,,,
Tamilnadu,Villupuram,Kodiyam  ,604207,,,,,,
Tamilnadu,Villupuram,Kodukkur  ,605501,,,,,,
Tamilnadu,Villupuram,Kolathur  ,604301,,,,,,
Tamilnadu,Villupuram,Koliyanur  ,605103,,,,,,
Tamilnadu,Villupuram,Kollar  ,604206,,,,,,
Tamilnadu,Villupuram,Konai  ,604205,,,,,,
Tamilnadu,Villupuram,Konalur  ,605201,,,,,,
Tamilnadu,Villupuram,Kondangi  ,605301,,,,,,
Tamilnadu,Villupuram,Kongarapattu  ,604306,,,,,,
Tamilnadu,Villupuram,Konur  ,605301,,,,,,
Tamilnadu,Villupuram,Korakeni  ,605501,,,,,,
Tamilnadu,Villupuram,Kottapoondi  ,604201,,,,,,
Tamilnadu,Villupuram,Kottayampoondi  ,605203,,,,,,
Tamilnadu,Villupuram,Kovilporaiyur  ,604201,,,,,,
Tamilnadu,Villupuram,Kumarakuppam  ,605108,,,,,,
Tamilnadu,Villupuram,Kumulam  ,605107,,,,,,
Tamilnadu,Villupuram,Kundalapuliyur  ,605203,,,,,,
Tamilnadu,Villupuram,Kunimedu  ,604303,,,,,,
Tamilnadu,Villupuram,Kunnapakkam  ,604101,,,,,,
Tamilnadu,Villupuram,Kurunjipai  ,604205,,,,,,
Tamilnadu,Villupuram,Kutteripattu  ,604302,,,,,,
Tamilnadu,Villupuram,Lingareddpalayam  ,605107,,,,,,
Tamilnadu,Villupuram,Madugadipet  ,605107,,,,,,
Tamilnadu,Villupuram,Madurapakkam  ,605501,,,,,,
Tamilnadu,Villupuram,Mahadevimangalam  ,604210,,,,,,
Tamilnadu,Villupuram,Mailam  ,604304,,,,,,
Tamilnadu,Villupuram,Mambazhapattu  ,605302,,,,,,
Tamilnadu,Villupuram,Manalapadi  ,604151,,,,,,
Tamilnadu,Villupuram,Manandal  ,604204,,,,,,
Tamilnadu,Villupuram,Mandava  ,604303,,,,,,
Tamilnadu,Villupuram,Maragadhapuram  ,605401,,,,,,
Tamilnadu,Villupuram,Markanum  ,604303,,,,,,
Tamilnadu,Villupuram,Markonam  ,604208,,,,,,
Tamilnadu,Villupuram,Melacheri  ,604202,,,,,,
Tamilnadu,Villupuram,Melathipakkam  ,604207,,,,,,
Tamilnadu,Villupuram,Meledayalam  ,604202,,,,,,
Tamilnadu,Villupuram,Melkaranai  ,605202,,,,,,
Tamilnadu,Villupuram,Melmalayanur  ,604204,,,,,,
Tamilnadu,Villupuram,Melmannur  ,604208,,,,,,
Tamilnadu,Villupuram,Melolakkur  ,604203,,,,,,
Tamilnadu,Villupuram,Melpathi  ,605103,,,,,,
Tamilnadu,Villupuram,Melpettai  ,604307,,,,,,
Tamilnadu,Villupuram,Melsevalambadi  ,604204,,,,,,
Tamilnadu,Villupuram,Melsevur  ,604306,,,,,,
Tamilnadu,Villupuram,Melsithamur  ,604206,,,,,,
Tamilnadu,Villupuram,Melvailamur  ,604201,,,,,,
Tamilnadu,Villupuram,Mettupalayam  ,605105,,,,,,
Tamilnadu,Villupuram,Minambur  ,604205,,,,,,
Tamilnadu,Villupuram,Modaiyur  ,604206,,,,,,
Tamilnadu,Villupuram,Mokshakulam  ,605105,,,,,,
Tamilnadu,Villupuram,Molasur  ,604102,,,,,,
Tamilnadu,Villupuram,Mundiyambakkam  ,605601,,,,,,
Tamilnadu,Villupuram,Munnur  ,604301,,,,,,
Tamilnadu,Villupuram,Muppuli  ,604302,,,,,,
Tamilnadu,Villupuram,Muttathur  ,605203,,,,,,
Tamilnadu,Villupuram,Nadukuppam  ,604303,,,,,,
Tamilnadu,Villupuram,Naduvanthangal  ,604207,,,,,,
Tamilnadu,Villupuram,Nagar  ,604301,,,,,,
Tamilnadu,Villupuram,Nallanpillaipetral  ,604152,,,,,,
Tamilnadu,Villupuram,Nallathur  ,604307,,,,,,
Tamilnadu,Villupuram,Nallavur  ,604154,,,,,,
Tamilnadu,Villupuram,Nangathur  ,605202,,,,,,
Tamilnadu,Villupuram,Nanndu  ,605301,,,,,,
Tamilnadu,Villupuram,Naraiyur  ,605108,,,,,,
Tamilnadu,Villupuram,Naranamangalam  ,604201,,,,,,
Tamilnadu,Villupuram,Nayambadi  ,604151,,,,,,
Tamilnadu,Villupuram,Nedimoliyanur  ,604306,,,,,,
Tamilnadu,Villupuram,Neganur  ,604202,,,,,,
Tamilnadu,Villupuram,Nemur  ,605203,,,,,,
Tamilnadu,Villupuram,Nochalur  ,604201,,,,,,
Tamilnadu,Villupuram,Nolambur  ,604307,,,,,,
Tamilnadu,Villupuram,Odiampet  ,605110,,,,,,
Tamilnadu,Villupuram,Olagapuram  ,604154,,,,,,
Tamilnadu,Villupuram,Olakkur  ,604305,,,,,,
Tamilnadu,Villupuram,Olundiapet  ,605109,,,,,,
Tamilnadu,Villupuram,Omandur  ,604102,,,,,,
Tamilnadu,Villupuram,Omipper  ,604301,,,,,,
Tamilnadu,Villupuram,Ongur  ,604307,,,,,,
Tamilnadu,Villupuram,Orukodi  ,605301,,,,,,
Tamilnadu,Villupuram,P.Villiyanur  ,605105,,,,,,
Tamilnadu,Villupuram,Padipallam  ,604151,,,,,,
Tamilnadu,Villupuram,Padirapuliyur  ,604304,,,,,,
Tamilnadu,Villupuram,Pakkam  ,604153,,,,,,
Tamilnadu,Villupuram,Palakuppam  ,604001,,,,,,
Tamilnadu,Villupuram,Palapadi  ,604153,,,,,,
Tamilnadu,Villupuram,Palapattu  ,604205,,,,,,
Tamilnadu,Villupuram,Palayam  ,605107,,,,,,
Tamilnadu,Villupuram,Palliandur  ,605402,,,,,,
Tamilnadu,Villupuram,Pallikulam  ,604203,,,,,,
Tamilnadu,Villupuram,Pallineliyanur  ,605107,,,,,,
Tamilnadu,Villupuram,Pallithennal  ,605102,,,,,,
Tamilnadu,Villupuram,Panamalai  ,605201,,,,,,
Tamilnadu,Villupuram,Panampattu  ,605103,,,,,,
Tamilnadu,Villupuram,Panchalam  ,604307,,,,,,
Tamilnadu,Villupuram,Pankolathur  ,604101,,,,,,
Tamilnadu,Villupuram,Pennangar  ,604210,,,,,,
Tamilnadu,Villupuram,Peramandur  ,604302,,,,,,
Tamilnadu,Villupuram,Periyababusamudram  ,605102,,,,,,
Tamilnadu,Villupuram,Periyanmur  ,604151,,,,,,
Tamilnadu,Villupuram,Periyanolambai  ,604204,,,,,,
Tamilnadu,Villupuram,Perumbakkam  ,604304,,,,,,
Tamilnadu,Villupuram,Perumbakkam  ,605301,,,,,,
Tamilnadu,Villupuram,Perumukkal  ,604301,,,,,,
Tamilnadu,Villupuram,Perungappur  ,604151,,,,,,
Tamilnadu,Villupuram,Peruvalur  ,604208,,,,,,
Tamilnadu,Villupuram,Pidagam  ,605401,,,,,,
Tamilnadu,Villupuram,Pillur  ,605103,,,,,,
Tamilnadu,Villupuram,Ponnankuppam  ,605201,,,,,,
Tamilnadu,Villupuram,Poovarasankuppam  ,605105,,,,,,
Tamilnadu,Villupuram,Porur  ,605202,,,,,,
Tamilnadu,Villupuram,Poyyapakkam  ,605103,,,,,,
Tamilnadu,Villupuram,Pudupakkam  ,604303,,,,,,
Tamilnadu,Villupuram,Pulichapllam  ,605109,,,,,,
Tamilnadu,Villupuram,Puranasingupalayam  ,605107,,,,,,
Tamilnadu,Villupuram,Radhhapuram  ,605501,,,,,,
Tamilnadu,Villupuram,Rampakkam  ,605105,,,,,,
Tamilnadu,Villupuram,Rettanai  ,604306,,,,,,
Tamilnadu,Villupuram,Salayampalayam  ,605108,,,,,,
Tamilnadu,Villupuram,Sangeethamangalam  ,605202,,,,,,
Tamilnadu,Villupuram,Saram ( Tindivanam )  ,604307,,,,,,
Tamilnadu,Villupuram,Sathambadi  ,604204,,,,,,
Tamilnadu,Villupuram,Sathyamagalam  ,604153,,,,,,
Tamilnadu,Villupuram,Semangalam  ,605109,,,,,,
Tamilnadu,Villupuram,Semmedu  ,604153,,,,,,
Tamilnadu,Villupuram,Sepettai  ,604152,,,,,,
Tamilnadu,Villupuram,Serndanur  ,605103,,,,,,
Tamilnadu,Villupuram,Seshangur  ,605501,,,,,,
Tamilnadu,Villupuram,Sevalapuri  ,604202,,,,,,
Tamilnadu,Villupuram,Sholangunam  ,604210,,,,,,
Tamilnadu,Villupuram,Singanur  ,604001,,,,,,
Tamilnadu,Villupuram,Siruthalaipoondi  ,604204,,,,,,
Tamilnadu,Villupuram,Siruvadi  ,604301,,,,,,
Tamilnadu,Villupuram,Siruvalai  ,605402,,,,,,
Tamilnadu,Villupuram,Sokuppam  ,604153,,,,,,
Tamilnadu,Villupuram,Sorapattu  ,605501,,,,,,
Tamilnadu,Villupuram,Suthukeni  ,605502,,,,,,
Tamilnadu,Villupuram,Teli  ,605302,,,,,,
Tamilnadu,Villupuram,Thadagam  ,604152,,,,,,
Tamilnadu,Villupuram,Thailapuram  ,604102,,,,,,
Tamilnadu,Villupuram,Thaiyur  ,604205,,,,,,
Tamilnadu,Villupuram,Thalangadu  ,604303,,,,,,
Tamilnadu,Villupuram,Thalangunam  ,604201,,,,,,
Tamilnadu,Villupuram,Thalavanur  ,604205,,,,,,
Tamilnadu,Villupuram,Thaludali  ,604304,,,,,,
Tamilnadu,Villupuram,Thamanur  ,604210,,,,,,
Tamilnadu,Villupuram,Thandavasamudram  ,604151,,,,,,
Tamilnadu,Villupuram,Thaniyal  ,604207,,,,,,
Tamilnadu,Villupuram,Thayanur  ,604204,,,,,,
Tamilnadu,Villupuram,Thenkalavoy  ,604302,,,,,,
Tamilnadu,Villupuram,Thenkodipakkam  ,604102,,,,,,
Tamilnadu,Villupuram,Thenpalai  ,604151,,,,,,
Tamilnadu,Villupuram,Thenpasiyar  ,604001,,,,,,
Tamilnadu,Villupuram,Thenputhur  ,604306,,,,,,
Tamilnadu,Villupuram,Thensiruvalur  ,604102,,,,,,
Tamilnadu,Villupuram,Theppirampattu  ,604204,,,,,,
Tamilnadu,Villupuram,Thirubuvanai  ,605107,,,,,,
Tamilnadu,Villupuram,Thiruvamathr  ,605402,,,,,,
Tamilnadu,Villupuram,Thiruvampattu  ,604205,,,,,,
Tamilnadu,Villupuram,Thiruvandarkoil  ,605102,,,,,,
Tamilnadu,Villupuram,Thiruvathikunnam  ,604205,,,,,,
Tamilnadu,Villupuram,Thiurvakkarai  ,604304,,,,,,
Tamilnadu,Villupuram,Thondamanatham  ,605502,,,,,,
Tamilnadu,Villupuram,Thorapadi  ,604204,,,,,,
Tamilnadu,Villupuram,Tindivanam  ,604001,,,,,,
Tamilnadu,Villupuram,Tindivanam Bazaar  ,604001,,,,,,
Tamilnadu,Villupuram,Tindivanam East  ,604001,,,,,,
Tamilnadu,Villupuram,Tindivanam West  ,604001,,,,,,
Tamilnadu,Villupuram,Tiruchitambalam  ,605111,,,,,,
Tamilnadu,Villupuram,Tirumangalam  ,605501,,,,,,
Tamilnadu,Villupuram,Tirupachanur  ,605103,,,,,,
Tamilnadu,Villupuram,Tivanur  ,604206,,,,,,
Tamilnadu,Villupuram,Ural  ,604001,,,,,,
Tamilnadu,Villupuram,V.Budur  ,605108,,,,,,
Tamilnadu,Villupuram,V.Mathur  ,605107,,,,,,
Tamilnadu,Villupuram,V.Mathur  ,605201,,,,,,
Tamilnadu,Villupuram,V.Nerkunam  ,605501,,,,,,
Tamilnadu,Villupuram,V.Parangani  ,605109,,,,,,
Tamilnadu,Villupuram,Vadanerkunam  ,604301,,,,,,
Tamilnadu,Villupuram,Vadapalai  ,604204,,,,,,
Tamilnadu,Villupuram,Vaidapakkam  ,604301,,,,,,
Tamilnadu,Villupuram,Vairapuram  ,604207,,,,,,
Tamilnadu,Villupuram,Vakkur  ,605501,,,,,,
Tamilnadu,Villupuram,Valathi  ,604208,,,,,,
Tamilnadu,Villupuram,Valavanur  ,605108,,,,,,
Tamilnadu,Villupuram,Vallam  ,604206,,,,,,
Tamilnadu,Villupuram,Valudareddy  ,605401,,,,,,
Tamilnadu,Villupuram,Valudavur  ,605502,,,,,,
Tamilnadu,Villupuram,Vanur  ,605109,,,,,,
Tamilnadu,Villupuram,Velanthangal  ,604152,,,,,,
Tamilnadu,Villupuram,Veliyanur  ,604304,,,,,,
Tamilnadu,Villupuram,Vellimeudpettai  ,604207,,,,,,
Tamilnadu,Villupuram,Velur (SA)  ,604154,,,,,,
Tamilnadu,Villupuram,Vembi  ,605203,,,,,,
Tamilnadu,Villupuram,Vengandur  ,604306,,,,,,
Tamilnadu,Villupuram,Vengandur  ,605402,,,,,,
Tamilnadu,Villupuram,Venkatadri  Agaram  ,605105,,,,,,
Tamilnadu,Villupuram,Vilukkam  ,604206,,,,,,
Tamilnadu,Villupuram,Viramur  ,605402,,,,,,
Tamilnadu,Villupuram,Viranamur  ,604203,,,,,,
Tamilnadu,Cuddalore,A.Kuravankuppam ,607802,,,,,,
Tamilnadu,Cuddalore,Adari ,606304,,,,,,
Tamilnadu,Cuddalore,Adinarayananpuram ,608801,,,,,,
Tamilnadu,Cuddalore,Adur Agaram ,607302,,,,,,
Tamilnadu,Cuddalore,Agara Alambadi ,608702,,,,,,
Tamilnadu,Cuddalore,Agaram ,608502,,,,,,
Tamilnadu,Cuddalore,Akkadavalli ,607205,,,,,,
Tamilnadu,Cuddalore,Akkanur ,606106,,,,,,
Tamilnadu,Cuddalore,Akkarai Gori ,607003,,,,,,
Tamilnadu,Cuddalore,Alagaperumalkuppam ,607101,,,,,,
Tamilnadu,Cuddalore,Alaginatham ,607109,,,,,,
Tamilnadu,Cuddalore,Alambadi ,606108,,,,,,
Tamilnadu,Cuddalore,Alapakkam ,608801,,,,,,
Tamilnadu,Cuddalore,Alathur ,606303,,,,,,
Tamilnadu,Cuddalore,Alkondanatham ,608305,,,,,,
Tamilnadu,Cuddalore,Ambalavananpettai ,607301,,,,,,
Tamilnadu,Cuddalore,Ambapuram ,608704,,,,,,
Tamilnadu,Cuddalore,Ammapettai ,608401,,,,,,
Tamilnadu,Cuddalore,Ammeri ,607802,,,,,,
Tamilnadu,Cuddalore,Andarmullipallam ,608801,,,,,,
Tamilnadu,Cuddalore,Anguchettipalayam ,607110,,,,,,
Tamilnadu,Cuddalore,Annamalai University ,608002,,,,,,
Tamilnadu,Cuddalore,Annamalainagar ,608002,,,,,,
Tamilnadu,Cuddalore,Annavalli ,607003,,,,,,
Tamilnadu,Cuddalore,Anukkampattu ,607301,,,,,,
Tamilnadu,Cuddalore,Arangamangalam ,607302,,,,,,
Tamilnadu,Cuddalore,Arantangi ,608301,,,,,,
Tamilnadu,Cuddalore,Arasadikkuppam ,607103,,,,,,
Tamilnadu,Cuddalore,Ariyakoshti ,608502,,,,,,
Tamilnadu,Cuddalore,Athipatu ,608401,,,,,,
Tamilnadu,Cuddalore,Avatti ,606108,,,,,,
Tamilnadu,Cuddalore,Avinangudi ,606106,,,,,,
Tamilnadu,Cuddalore,Aviyanur ,607101,,,,,,
Tamilnadu,Cuddalore,Ayangudi ,608306,,,,,,
Tamilnadu,Cuddalore,Ayikuppam ,607301,,,,,,
Tamilnadu,Cuddalore,Ayyanur Akkaramangalam ,608201,,,,,,
Tamilnadu,Cuddalore,Azhisikudi ,608601,,,,,,
Tamilnadu,Cuddalore,B.Adivaraganallur ,608501,,,,,,
Tamilnadu,Cuddalore,B.Kolakudi ,608704,,,,,,
Tamilnadu,Cuddalore,B.Mutlur ,608501,,,,,,
Tamilnadu,Cuddalore,B.Odaiyur ,608601,,,,,,
Tamilnadu,Cuddalore,Badrakottai ,607102,,,,,,
Tamilnadu,Cuddalore,Bandarakottai ,607108,,,,,,
Tamilnadu,Cuddalore,Bharathi Road ,607001,,,,,,
Tamilnadu,Cuddalore,Bhuvanagiri ,608601,,,,,,
Tamilnadu,Cuddalore,"Block 1, Neyveli ",607801,,,,,,
Tamilnadu,Cuddalore,"Block 10,neyveli ",607801,,,,,,
Tamilnadu,Cuddalore,"Block 18, Neyveli ",607803,,,,,,
Tamilnadu,Cuddalore,"Block 24, Neyveli ",607801,,,,,,
Tamilnadu,Cuddalore,"Block 26, Neyveli ",607803,,,,,,
Tamilnadu,Cuddalore,"Block 27,. Neyveli ",607803,,,,,,
Tamilnadu,Cuddalore,"Block 29, Neyveli ",607807,,,,,,
Tamilnadu,Cuddalore,"Block 3, Neyveli ",607801,,,,,,
Tamilnadu,Cuddalore,"Block 5, Neyveli ",607803,,,,,,
Tamilnadu,Cuddalore,Budamur ,606001,,,,,,
Tamilnadu,Cuddalore,Budangudi ,608702,,,,,,
Tamilnadu,Cuddalore,Budavarayanpettai ,608601,,,,,,
Tamilnadu,Cuddalore,C  Keeranur ,606110,,,,,,
Tamilnadu,Cuddalore,C.Arasur ,608302,,,,,,
Tamilnadu,Cuddalore,C.Mutlur ,608102,,,,,,
Tamilnadu,Cuddalore,C.Pudupettai ,608502,,,,,,
Tamilnadu,Cuddalore,C.Sathamangalam ,608201,,,,,,
Tamilnadu,Cuddalore,C.Veeracholagam ,608602,,,,,,
Tamilnadu,Cuddalore,Capperquary ,607005,,,,,,
Tamilnadu,Cuddalore,Chellanchery ,605106,,,,,,
Tamilnadu,Cuddalore,Chettithangal ,608304,,,,,,
Tamilnadu,Cuddalore,Chidambaram ,608001,,,,,,
Tamilnadu,Cuddalore,Chidambaram ,608001,,,,,,
Tamilnadu,Cuddalore,Chidambaram Cutcherry ,608001,,,,,,
Tamilnadu,Cuddalore,Chidambaram East ,608001,,,,,,
Tamilnadu,Cuddalore,Chidambaram North ,608001,,,,,,
Tamilnadu,Cuddalore,Chidambaram West ,608001,,,,,,
Tamilnadu,Cuddalore,Chinnakannadi ,607302,,,,,,
Tamilnadu,Cuddalore,Chinnanargunam ,608704,,,,,,
Tamilnadu,Cuddalore,Chinnapanaickenpalayam ,607102,,,,,,
Tamilnadu,Cuddalore,Chinnaparur ,606104,,,,,,
Tamilnadu,Cuddalore,Cuddalore ,607001,,,,,,
Tamilnadu,Cuddalore,Cuddalore Court Buildings ,607001,,,,,,
Tamilnadu,Cuddalore,Cuddalore Old Town ,607003,,,,,,
Tamilnadu,Cuddalore,Cuddalore Ot Bazaar ,607003,,,,,,
Tamilnadu,Cuddalore,Cuddalore Port ,607003,,,,,,
Tamilnadu,Cuddalore,Cuddalore Public Offices ,607001,,,,,,
Tamilnadu,Cuddalore,Deevalur ,606110,,,,,,
Tamilnadu,Cuddalore,Dharmanallur ,606103,,,,,,
Tamilnadu,Cuddalore,E.Keeranur ,606106,,,,,,
Tamilnadu,Cuddalore,Edaiyur ,606302,,,,,,
Tamilnadu,Cuddalore,Edayarkuppam ,607102,,,,,,
Tamilnadu,Cuddalore,Elleri ,608303,,,,,,
Tamilnadu,Cuddalore,Elumedu ,607104,,,,,,
Tamilnadu,Cuddalore,Eluthur ,606303,,,,,,
Tamilnadu,Cuddalore,Enathirimangalam ,607108,,,,,,
Tamilnadu,Cuddalore,Ennanagaram ,608602,,,,,,
Tamilnadu,Cuddalore,Erumanur ,606001,,,,,,
Tamilnadu,Cuddalore,Erumbur ,608704,,,,,,
Tamilnadu,Cuddalore,Eyyalur ,608304,,,,,,
Tamilnadu,Cuddalore,Fort St.David ,607001,,,,,,
Tamilnadu,Cuddalore,Gandhi Nagar ,607308,,,,,,
Tamilnadu,Cuddalore,Gavarappattu ,608002,,,,,,
Tamilnadu,Cuddalore,Gopalapuram ,606103,,,,,,
Tamilnadu,Cuddalore,Gudalur ,606111,,,,,,
Tamilnadu,Cuddalore,Gudithangi ,607105,,,,,,
Tamilnadu,Cuddalore,Gunamangalam ,607109,,,,,,
Tamilnadu,Cuddalore,Gundu Uppalavadi ,607002,,,,,,
Tamilnadu,Cuddalore,Guruvappanpettai ,607302,,,,,,
Tamilnadu,Cuddalore,Idaichittur ,606104,,,,,,
Tamilnadu,Cuddalore,Iruppu ,607805,,,,,,
Tamilnadu,Cuddalore,Jayankondapattinam ,608002,,,,,,
Tamilnadu,Cuddalore,K.Adur ,608602,,,,,,
Tamilnadu,Cuddalore,K.Alambadi ,608602,,,,,,
Tamilnadu,Cuddalore,Kadambuliyur ,607103,,,,,,
Tamilnadu,Cuddalore,Kalaiyur ,607109,,,,,,
Tamilnadu,Cuddalore,Kalinjikuppam ,607104,,,,,,
Tamilnadu,Cuddalore,Kalkunam ,607302,,,,,,
Tamilnadu,Cuddalore,Kaludur ,606304,,,,,,
Tamilnadu,Cuddalore,Kammapuram ,606103,,,,,,
Tamilnadu,Cuddalore,Kanagasabainagar ,608001,,,,,,
Tamilnadu,Cuddalore,Kandakumaran ,608305,,,,,,
Tamilnadu,Cuddalore,Kandamangalam ,608301,,,,,,
Tamilnadu,Cuddalore,Kandrakottai ,607205,,,,,,
Tamilnadu,Cuddalore,Kanisapakkam ,607106,,,,,,
Tamilnadu,Cuddalore,Kanjankollai ,608304,,,,,,
Tamilnadu,Cuddalore,Kanur ,608701,,,,,,
Tamilnadu,Cuddalore,Kargudal ,606001,,,,,,
Tamilnadu,Cuddalore,Karnatham ,606104,,,,,,
Tamilnadu,Cuddalore,Karumbur ,607108,,,,,,
Tamilnadu,Cuddalore,Karunakaranallur ,608301,,,,,,
Tamilnadu,Cuddalore,Karunguli ,607303,,,,,,
Tamilnadu,Cuddalore,Karuppur ,608401,,,,,,
Tamilnadu,Cuddalore,Karuvepilankurichi ,606110,,,,,,
